"","x"
"1","Hsa.3004"
"2","Hsa.13491"
"3","Hsa.13491"
"4","Hsa.37254"
"5","Hsa.541"
"6","Hsa.20836"
"7","Hsa.1977"
"8","Hsa.44472"
"9","Hsa.3087"
"10","Hsa.1447"
"11","Hsa.750"
"12","Hsa.45293"
"13","Hsa.2555"
"14","Hsa.467"
"15","Hsa.539"
"16","Hsa.2357"
"17","Hsa.474"
"18","Hsa.749"
"19","Hsa.24464"
"20","Hsa.2597"
"21","Hsa.3835"
"22","Hsa.6080"
"23","Hsa.3002"
"24","Hsa.1119"
"25","Hsa.44472"
"26","Hsa.4689"
"27","Hsa.45293"
"28","Hsa.5710"
"29","Hsa.20836"
"30","Hsa.909"
"31","Hsa.878"
"32","Hsa.1648"
"33","Hsa.1836"
"34","Hsa.1273"
"35","Hsa.19249"
"36","Hsa.2948"
"37","Hsa.7877"
"38","Hsa.1400"
"39","HSAC07                                                                                                                                                                                                                                                                    "
"40","HSAC07                                                                                                                                                                                                                                                                    "
"41","HSAC07                                                                                                                                                                                                                                                                    "
"42","HSAC07                                                                                                                                                                                                                                                                    "
"43","Hsa.8068"
"44","Hsa.1139"
"45","Hsa.27083"
"46","Hsa.3006"
"47","Hsa.5398"
"48","Hsa.2299"
"49","Hsa.1013"
"50","UMGAP                                                                                                                                                                                                                                                                        "
"51","UMGAP                                                                                                                                                                                                                                                                        "
"52","UMGAP                                                                                                                                                                                                                                                                        "
"53","UMGAP                                                                                                                                                                                                                                                                        "
"54","Hsa.2221"
"55","Hsa.1238"
"56","Hsa.6039"
"57","Hsa.98"
"58","Hsa.2019"
"59","Hsa.1732"
"60","Hsa.5363"
"61","Hsa.8093"
"62","Hsa.5444"
"63","Hsa.3094"
"64","Hsa.1949"
"65","Hsa.361"
"66","Hsa.8125"
"67","Hsa.2361"
"68","Hsa.255"
"69","Hsa.2699"
"70","Hsa.1013"
"71","Hsa.2542"
"72","Hsa.678"
"73","Hsa.36957"
"74","Hsa.44403"
"75","Hsa.2800"
"76","Hsa.25867"
"77","Hsa.6977"
"78","Hsa.24121"
"79","Hsa.9304"
"80","Hsa.2063"
"81","Hsa.36957"
"82","Hsa.938"
"83","Hsa.33965"
"84","Hsa.2219"
"85","Hsa.2665"
"86","Hsa.954"
"87","Hsa.1812"
"88","Hsa.27685"
"89","Hsa.20"
"90","Hsa.2151"
"91","Hsa.489"
"92","Hsa.12257"
"93","Hsa.2026"
"94","Hsa.1500"
"95","Hsa.5292"
"96","Hsa.18897"
"97","Hsa.45222"
"98","Hsa.32730"
"99","Hsa.2419"
"100","Hsa.1985"
"101","Hsa.10363"
"102","Hsa.3566"
"103","Hsa.689"
"104","Hsa.624"
"105","Hsa.1978"
"106","Hsa.3409"
"107","Hsa.5346"
"108","Hsa.38205"
"109","Hsa.2582"
"110","Hsa.11712"
"111","Hsa.10755"
"112","Hsa.2600"
"113","Hsa.68"
"114","Hsa.4316"
"115","Hsa.2918"
"116","Hsa.914"
"117","Hsa.7280"
"118","Hsa.8126"
"119","Hsa.1737"
"120","Hsa.1939"
"121","Hsa.2929"
"122","Hsa.21232"
"123","Hsa.1961"
"124","Hsa.916"
"125","Hsa.1732"
"126","Hsa.13183"
"127","Hsa.4252"
"128","Hsa.572"
"129","Hsa.45260"
"130","Hsa.73"
"131","Hsa.3225"
"132","Hsa.6977"
"133","Hsa.3129"
"134","Hsa.34312"
"135","Hsa.41309"
"136","Hsa.537"
"137","Hsa.36694"
"138","Hsa.957"
"139","Hsa.668"
"140","Hsa.10975"
"141","Hsa.451"
"142","Hsa.41357"
"143","Hsa.810"
"144","Hsa.2071"
"145","Hsa.2655"
"146","Hsa.91"
"147","Hsa.558"
"148","Hsa.1222"
"149","Hsa.3017"
"150","Hsa.3409"
"151","Hsa.652"
"152","Hsa.1829"
"153","Hsa.1367"
"154","Hsa.63"
"155","Hsa.27491"
"156","Hsa.1803"
"157","Hsa.3197"
"158","Hsa.22614"
"159","Hsa.45604"
"160","Hsa.36957"
"161","Hsa.11096"
"162","Hsa.10306"
"163","Hsa.43252"
"164","Hsa.5821"
"165","Hsa.733"
"166","Hsa.2357"
"167","Hsa.31"
"168","Hsa.24539"
"169","Hsa.22614"
"170","Hsa.6146"
"171","Hsa.45604"
"172","Hsa.19"
"173","Hsa.644"
"174","Hsa.21418"
"175","Hsa.18664"
"176","Hsa.25451"
"177","Hsa.8831"
"178","Hsa.10510"
"179","Hsa.514"
"180","Hsa.2663"
"181","Hsa.120"
"182","Hsa.1137"
"183","Hsa.2831"
"184","Hsa.2015"
"185","Hsa.10305"
"186","Hsa.2244"
"187","Hsa.832"
"188","Hsa.1116"
"189","Hsa.422"
"190","Hsa.2773"
"191","Hsa.39141"
"192","Hsa.1822"
"193","Hsa.6376"
"194","Hsa.580"
"195","Hsa.24948"
"196","Hsa.24652"
"197","Hsa.2463"
"198","Hsa.3003"
"199","Hsa.812"
"200","Hsa.8305"
"201","Hsa.1130"
"202","Hsa.2360"
"203","Hsa.570"
"204","Hsa.15115"
"205","Hsa.36074"
"206","Hsa.304"
"207","Hsa.7498"
"208","Hsa.338"
"209","Hsa.6671"
"210","Hsa.2846"
"211","Hsa.9255"
"212","Hsa.915"
"213","Hsa.9817"
"214","Hsa.1181"
"215","Hsa.26128"
"216","Hsa.546"
"217","Hsa.991"
"218","Hsa.31882"
"219","Hsa.3922"
"220","Hsa.41218"
"221","Hsa.2710"
"222","Hsa.307"
"223","Hsa.587"
"224","Hsa.2095"
"225","Hsa.3547"
"226","Hsa.3295"
"227","Hsa.778"
"228","Hsa.2014"
"229","Hsa.1190"
"230","Hsa.4954"
"231","Hsa.1939"
"232","Hsa.3150"
"233","Hsa.568"
"234","Hsa.4992"
"235","Hsa.1006"
"236","Hsa.9277"
"237","Hsa.9817"
"238","Hsa.21339"
"239","Hsa.100"
"240","Hsa.8656"
"241","Hsa.951"
"242","Hsa.1847"
"243","Hsa.9623"
"244","Hsa.8606"
"245","Hsa.692"
"246","Hsa.918"
"247","Hsa.13102"
"248","Hsa.8177"
"249","Hsa.8147"
"250","Hsa.1532"
"251","Hsa.41315"
"252","Hsa.921"
"253","Hsa.3045"
"254","Hsa.628"
"255","Hsa.1070"
"256","Hsa.2714"
"257","Hsa.2613"
"258","Hsa.823"
"259","Hsa.231"
"260","i                                                                                                                                                                                                                                                                            "
"261","i                                                                                                                                                                                                                                                                            "
"262","i                                                                                                                                                                                                                                                                            "
"263","i                                                                                                                                                                                                                                                                            "
"264","Hsa.996"
"265","Hsa.9372"
"266","Hsa.33572"
"267","Hsa.692"
"268","Hsa.1825"
"269","Hsa.2806"
"270","Hsa.38375"
"271","Hsa.81"
"272","Hsa.5122"
"273","Hsa.2933"
"274","Hsa.3440"
"275","Hsa.539"
"276","Hsa.10358"
"277","Hsa.8658"
"278","Hsa.3769"
"279","Hsa.41126"
"280","Hsa.854"
"281","Hsa.3001"
"282","Hsa.3031"
"283","Hsa.80"
"284","Hsa.29228"
"285","Hsa.20034"
"286","Hsa.43279"
"287","Hsa.1050"
"288","Hsa.9407"
"289","Hsa.39432"
"290","Hsa.21660"
"291","Hsa.9720"
"292","Hsa.3063"
"293","Hsa.2829"
"294","Hsa.1719"
"295","Hsa.2795"
"296","Hsa.994"
"297","Hsa.6165"
"298","Hsa.19784"
"299","Hsa.5544"
"300","Hsa.17256"
"301","Hsa.1178"
"302","Hsa.26767"
"303","Hsa.41259"
"304","Hsa.3180"
"305","Hsa.2905"
"306","Hsa.1534"
"307","Hsa.1166"
"308","Hsa.2779"
"309","Hsa.14229"
"310","Hsa.787"
"311","Hsa.1478"
"312","Hsa.1722"
"313","Hsa.26914"
"314","Hsa.122"
"315","Hsa.2768"
"316","Hsa.41279"
"317","Hsa.891"
"318","Hsa.3272"
"319","Hsa.9285"
"320","Hsa.1263"
"321","Hsa.2902"
"322","Hsa.1063"
"323","Hsa.3307"
"324","Hsa.25847"
"325","Hsa.19003"
"326","Hsa.256"
"327","Hsa.41347"
"328","Hsa.3121"
"329","Hsa.1044"
"330","Hsa.11352"
"331","Hsa.2917"
"332","Hsa.13598"
"333","Hsa.1391"
"334","Hsa.698"
"335","Hsa.27324"
"336","Hsa.1738"
"337","Hsa.14360"
"338","Hsa.9738"
"339","Hsa.1804"
"340","Hsa.17649"
"341","Hsa.103"
"342","Hsa.79"
"343","Hsa.2950"
"344","Hsa.34874"
"345","Hsa.2598"
"346","Hsa.3117"
"347","Hsa.10176"
"348","Hsa.1276"
"349","Hsa.1450"
"350","Hsa.2126"
"351","Hsa.2559"
"352","Hsa.1096"
"353","Hsa.11096"
"354","Hsa.2809"
"355","Hsa.1466"
"356","Hsa.35496"
"357","Hsa.31"
"358","Hsa.153"
"359","Hsa.594"
"360","Hsa.562"
"361","Hsa.3910"
"362","Hsa.41181"
"363","Hsa.194"
"364","Hsa.995"
"365","Hsa.821"
"366","Hsa.848"
"367","Hsa.33982"
"368","Hsa.9631"
"369","Hsa.2251"
"370","Hsa.2600"
"371","Hsa.1277"
"372","Hsa.4347"
"373","Hsa.13702"
"374","Hsa.13007"
"375","Hsa.26747"
"376","Hsa.3056"
"377","Hsa.36689"
"378","Hsa.2952"
"379","Hsa.807"
"380","Hsa.758"
"381","Hsa.7671"
"382","Hsa.2943"
"383","Hsa.41124"
"384","Hsa.538"
"385","Hsa.2505"
"386","Hsa.2440"
"387","Hsa.20507"
"388","Hsa.136"
"389","Hsa.6160"
"390","Hsa.1687"
"391","Hsa.3152"
"392","Hsa.5548"
"393","Hsa.27832"
"394","Hsa.1008"
"395","Hsa.1278"
"396","Hsa.45242"
"397","Hsa.1121"
"398","Hsa.1670"
"399","Hsa.5971"
"400","Hsa.1558"
"401","Hsa.142"
"402","Hsa.28145"
"403","Hsa.1504"
"404","Hsa.16100"
"405","Hsa.454"
"406","Hsa.5537"
"407","Hsa.9667"
"408","Hsa.2995"
"409","Hsa.8097"
"410","Hsa.11780"
"411","Hsa.41282"
"412","Hsa.41325"
"413","Hsa.19731"
"414","Hsa.244"
"415","Hsa.1221"
"416","Hsa.34351"
"417","Hsa.2086"
"418","Hsa.1033"
"419","Hsa.24506"
"420","Hsa.2249"
"421","Hsa.30128"
"422","Hsa.25380"
"423","Hsa.16086"
"424","Hsa.2489"
"425","Hsa.5143"
"426","Hsa.8736"
"427","Hsa.544"
"428","Hsa.3207"
"429","Hsa.13110"
"430","Hsa.8596"
"431","Hsa.714"
"432","Hsa.965"
"433","Hsa.1473"
"434","Hsa.1108"
"435","Hsa.19537"
"436","Hsa.2870"
"437","Hsa.879"
"438","Hsa.28608"
"439","Hsa.1181"
"440","Hsa.929"
"441","Hsa.3174"
"442","Hsa.13624"
"443","Hsa.2592"
"444","Hsa.702"
"445","Hsa.2232"
"446","Hsa.41083"
"447","Hsa.3157"
"448","Hsa.3299"
"449","Hsa.6633"
"450","Hsa.4234"
"451","Hsa.2560"
"452","Hsa.3328"
"453","Hsa.42186"
"454","Hsa.33699"
"455","Hsa.551"
"456","Hsa.1821"
"457","Hsa.35528"
"458","Hsa.1239"
"459","Hsa.3852"
"460","Hsa.912"
"461","Hsa.1990"
"462","Hsa.24110"
"463","Hsa.2033"
"464","Hsa.8583"
"465","Hsa.1762"
"466","Hsa.41207"
"467","Hsa.2588"
"468","Hsa.27721"
"469","Hsa.7736"
"470","Hsa.6581"
"471","Hsa.1896"
"472","Hsa.22251"
"473","Hsa.591"
"474","Hsa.10067"
"475","Hsa.36291"
"476","Hsa.479"
"477","Hsa.2612"
"478","Hsa.1542"
"479","Hsa.2163"
"480","Hsa.592"
"481","Hsa.40177"
"482","Hsa.59"
"483","Hsa.35652"
"484","Hsa.13670"
"485","Hsa.2268"
"486","Hsa.209"
"487","Hsa.719"
"488","Hsa.1678"
"489","Hsa.3088"
"490","Hsa.41875"
"491","Hsa.7654"
"492","Hsa.2311"
"493","Hsa.37937"
"494","Hsa.3069"
"495","Hsa.27686"
"496","Hsa.17101"
"497","Hsa.2119"
"498","Hsa.2529"
"499","Hsa.39"
"500","Hsa.5464"
"501","Hsa.561"
"502","Hsa.8597"
"503","Hsa.35000"
"504","Hsa.1867"
"505","Hsa.3909"
"506","Hsa.39809"
"507","Hsa.19232"
"508","Hsa.33602"
"509","Hsa.3185"
"510","Hsa.50"
"511","Hsa.34416"
"512","Hsa.44787"
"513","Hsa.831"
"514","Hsa.9285"
"515","Hsa.6472"
"516","Hsa.949"
"517","Hsa.3454"
"518","Hsa.2379"
"519","Hsa.2951"
"520","Hsa.3007"
"521","Hsa.16096"
"522","Hsa.16793"
"523","Hsa.934"
"524","Hsa.7247"
"525","Hsa.36657"
"526","a.1000"
"527","Hsa.36665"
"528","Hsa.132"
"529","Hsa.286"
"530","Hsa.215"
"531","Hsa.1448"
"532","Hsa.2589"
"533","Hsa.2132"
"534","Hsa.24206"
"535","Hsa.5633"
"536","Hsa.1830"
"537","Hsa.1164"
"538","Hsa.4996"
"539","Hsa.12209"
"540","Hsa.17"
"541","Hsa.21596"
"542","Hsa.1948"
"543","Hsa.561"
"544","Hsa.26083"
"545","Hsa.2393"
"546","Hsa.21901"
"547","Hsa.3069"
"548","Hsa.2191"
"549","Hsa.1591"
"550","Hsa.726"
"551","Hsa.962"
"552","Hsa.1793"
"553","Hsa.1312"
"554","Hsa.10909"
"555","Hsa.1098"
"556","Hsa.268"
"557","Hsa.37169"
"558","Hsa.22191"
"559","Hsa.8052"
"560","Hsa.1215"
"561","Hsa.8219"
"562","Hsa.470"
"563","Hsa.41164"
"564","Hsa.1165"
"565","Hsa.806"
"566","Hsa.2094"
"567","Hsa.2780"
"568","Hsa.23285"
"569","Hsa.6376"
"570","Hsa.3209"
"571","Hsa.853"
"572","Hsa.8964"
"573","Hsa.1133"
"574","Hsa.2141"
"575","Hsa.9761"
"576","Hsa.2487"
"577","Hsa.8"
"578","Hsa.19828"
"579","Hsa.1244"
"580","Hsa.41299"
"581","Hsa.1207"
"582","Hsa.40595"
"583","Hsa.41956"
"584","Hsa.834"
"585","Hsa.1768"
"586","Hsa.608"
"587","Hsa.1640"
"588","Hsa.8182"
"589","Hsa.3150"
"590","Hsa.8010"
"591","Hsa.36019"
"592","Hsa.2062"
"593","Hsa.31943"
"594","Hsa.17822"
"595","Hsa.6422"
"596","Hsa.950"
"597","Hsa.20028"
"598","Hsa.32389"
"599","Hsa.1773"
"600","Hsa.847"
"601","Hsa.1132"
"602","Hsa.1106"
"603","Hsa.2478"
"604","Hsa.1630"
"605","Hsa.1445"
"606","Hsa.4907"
"607","Hsa.6376"
"608","Hsa.2416"
"609","Hsa.24944"
"610","Hsa.41240"
"611","Hsa.897"
"612","Hsa.1739"
"613","Hsa.22167"
"614","Hsa.9251"
"615","Hsa.39288"
"616","Hsa.3022"
"617","Hsa.42949"
"618","Hsa.2304"
"619","Hsa.6458"
"620","Hsa.2739"
"621","Hsa.305"
"622","Hsa.732"
"623","Hsa.34562"
"624","Hsa.5402"
"625","Hsa.3306"
"626","Hsa.7324"
"627","Hsa.28914"
"628","Hsa.36010"
"629","Hsa.3194"
"630","Hsa.9691"
"631","Hsa.33843"
"632","Hsa.3135"
"633","Hsa.45499"
"634","Hsa.1920"
"635","Hsa.465"
"636","Hsa.1515"
"637","Hsa.36666"
"638","Hsa.2298"
"639","Hsa.22762"
"640","Hsa.318"
